iter,train_elbo,valid_rmse
1,-69027.671875,0.23412899672985077
100,-67176.4921875,0.17027662694454193
200,-65311.578125,0.1690932959318161
300,-63458.671875,0.17359989881515503
400,-61612.55859375,0.1746395230293274
500,-59780.16796875,0.179368793964386
600,-57957.20703125,0.18231257796287537
700,-56145.9140625,0.1873185634613037
800,-54341.1796875,0.19237257540225983
900,-52555.84375,0.19806282222270966
1000,-50790.03515625,0.19565123319625854
1100,-49034.390625,0.207449808716774
1200,-47296.91015625,0.21317709982395172
1300,-45576.02734375,0.21708878874778748
1400,-43878.9375,0.2235800176858902
1500,-42202.97265625,0.22693242132663727
1600,-40548.57421875,0.23597769439220428
1700,-38918.83984375,0.24163421988487244
1800,-37315.18359375,0.24463003873825073
1900,-35741.34765625,0.24909840524196625
2000,-34195.6015625,0.2575700283050537
