iter,train_elbo,valid_rmse
1,-736.3306274414062,0.24133899807929993
100,-704.4146728515625,0.1678706854581833
200,-682.3092651367188,0.1541590541601181
300,-660.6588134765625,0.15552762150764465
400,-637.7759399414062,0.15463390946388245
500,-615.833251953125,0.15032951533794403
600,-593.7910766601562,0.14722798764705658
700,-571.0667724609375,0.14630253612995148
800,-548.2740478515625,0.14749138057231903
900,-526.0796508789062,0.15047673881053925
1000,-503.40142822265625,0.14869752526283264
1100,-481.0749816894531,0.1497509926557541
1200,-458.9219055175781,0.14717870950698853
1300,-436.8980407714844,0.14958402514457703
1400,-415.5748596191406,0.14965377748012543
1500,-394.636474609375,0.1506267637014389
1600,-373.6517639160156,0.1522611379623413
1700,-352.7959289550781,0.15395505726337433
1800,-333.08612060546875,0.15662287175655365
1900,-313.7755126953125,0.154113307595253
2000,-294.99884033203125,0.15418557822704315
