iter,train_elbo,valid_rmse
1,-1052.2625732421875,0.23270760476589203
100,-1016.0281982421875,0.16924035549163818
200,-991.0282592773438,0.15705817937850952
300,-966.3404541015625,0.1577357053756714
400,-940.895751953125,0.15458111464977264
500,-916.467529296875,0.1515861302614212
600,-891.850341796875,0.1496923863887787
700,-866.6907348632812,0.14758165180683136
800,-842.0242919921875,0.15079239010810852
900,-817.7068481445312,0.15320603549480438
1000,-792.877197265625,0.1495216339826584
1100,-768.4345092773438,0.15131409466266632
1200,-744.3025512695312,0.15024566650390625
1300,-720.2289428710938,0.1531193107366562
1400,-696.72802734375,0.15321987867355347
1500,-673.6533203125,0.1554272621870041
1600,-650.3612060546875,0.15536421537399292
1700,-627.2918701171875,0.15738235414028168
1800,-605.0729370117188,0.1601429134607315
1900,-583.235595703125,0.15797452628612518
2000,-561.9166870117188,0.1592637151479721
