iter,train_elbo,valid_rmse
1,-1033.654052734375,0.22385258972644806
100,-1005.0204467773438,0.15876834094524384
200,-977.030029296875,0.1579870879650116
300,-949.28515625,0.15998709201812744
400,-921.64208984375,0.1542489379644394
500,-894.1942749023438,0.15329162776470184
600,-866.9207763671875,0.1506374031305313
700,-839.7868041992188,0.150996595621109
800,-812.8346557617188,0.15145061910152435
900,-786.0901489257812,0.1507514864206314
1000,-759.6600341796875,0.15131093561649323
1100,-733.3832397460938,0.1531185805797577
1200,-707.4124145507812,0.15304861962795258
1300,-681.6875,0.15345308184623718
1400,-656.2550048828125,0.15473492443561554
1500,-631.177734375,0.1544479876756668
1600,-606.4309692382812,0.15705537796020508
1700,-582.0374755859375,0.15854500234127045
1800,-558.0335693359375,0.1630827635526657
1900,-534.490478515625,0.16319333016872406
2000,-511.3304138183594,0.1641543209552765
