iter,train_elbo,valid_rmse
1,-1052.06787109375,0.2275954931974411
100,-1012.152099609375,0.16300344467163086
200,-985.8513793945312,0.15858742594718933
300,-959.79052734375,0.16023759543895721
400,-932.4404296875,0.1552629917860031
500,-906.6815185546875,0.15624259412288666
600,-880.56787109375,0.15185515582561493
700,-854.2949829101562,0.15351688861846924
800,-828.7103881835938,0.15458691120147705
900,-802.8976440429688,0.15366677939891815
1000,-777.3812255859375,0.15188099443912506
1100,-751.8977661132812,0.15483395755290985
1200,-726.861572265625,0.15380869805812836
1300,-701.84521484375,0.1543409526348114
1400,-677.3065185546875,0.15430469810962677
1500,-653.2737426757812,0.15422363579273224
1600,-629.1489868164062,0.15728439390659332
1700,-605.3369750976562,0.15712453424930573
1800,-582.3352661132812,0.15745730698108673
1900,-559.646240234375,0.1573956310749054
2000,-537.2340698242188,0.15668830275535583
