iter,train_elbo,valid_rmse
1,-721.2109375,0.22762052714824677
100,-690.1460571289062,0.16033950448036194
200,-662.1484985351562,0.15599574148654938
300,-634.6361083984375,0.16159695386886597
400,-607.1378784179688,0.15602172911167145
500,-579.9955444335938,0.15704230964183807
600,-553.047119140625,0.15716823935508728
700,-526.2833251953125,0.15878111124038696
800,-499.72381591796875,0.15756478905677795
900,-473.4947814941406,0.15763719379901886
1000,-447.6950988769531,0.15648531913757324
1100,-422.1177673339844,0.15780648589134216
1200,-396.9281921386719,0.16038990020751953
1300,-372.1783142089844,0.1609279066324234
1400,-347.8868713378906,0.16330906748771667
1500,-324.2209167480469,0.15996915102005005
1600,-300.96295166015625,0.16445787250995636
1700,-278.28485107421875,0.16696609556674957
1800,-256.41912841796875,0.17394384741783142
1900,-235.2701873779297,0.17293371260166168
2000,-214.8143310546875,0.17756618559360504
