iter,train_elbo,valid_rmse
1,-1036.899169921875,0.2413390576839447
100,-1006.9557495117188,0.1693972945213318
200,-979.3609008789062,0.15541481971740723
300,-952.1095581054688,0.15491768717765808
400,-924.7264404296875,0.15489646792411804
500,-897.843505859375,0.15186668932437897
600,-871.0732421875,0.1484062224626541
700,-844.2682495117188,0.1491105705499649
800,-817.6264038085938,0.15275217592716217
900,-791.325439453125,0.15612836182117462
1000,-765.1812133789062,0.15165190398693085
1100,-739.2498779296875,0.15534932911396027
1200,-713.6411743164062,0.15595488250255585
1300,-688.1824340820312,0.1579459011554718
1400,-663.1983642578125,0.15973761677742004
1500,-638.5745239257812,0.16147087514400482
1600,-614.1295166015625,0.16265437006950378
1700,-589.954345703125,0.16414625942707062
1800,-566.4193725585938,0.1662818044424057
1900,-543.3065185546875,0.16732004284858704
2000,-520.584228515625,0.16753411293029785
