iter,train_hvm_elbo,valid_rmse
1,-56583.65625,3.747753381729126
2,-56295.4609375,3.032866954803467
3,-56041.703125,3.100538969039917
4,-56709.9609375,3.6413486003875732
5,-55189.0078125,3.8040904998779297
6,-55890.9375,3.705258369445801
7,-56007.90625,3.5540337562561035
8,-55214.6640625,3.6643495559692383
9,-55652.7265625,3.8149285316467285
10,-56762.7578125,3.6851093769073486
