iter,train_elbo,valid_rmse
1,-276122.5625,0.5231802463531494
100,-268724.0,0.43589624762535095
200,-261266.28125,0.26625168323516846
300,-253853.109375,0.24860292673110962
400,-246470.578125,0.17750217020511627
500,-239142.171875,0.177812859416008
600,-231848.328125,0.19590578973293304
700,-224605.21875,0.17310120165348053
800,-217387.234375,0.19282902777194977
900,-210245.46875,0.17804309725761414
1000,-203182.140625,0.20628021657466888
1100,-196160.390625,0.1938476711511612
1200,-189211.28125,0.1976642608642578
1300,-182327.453125,0.19252757728099823
1400,-175539.75,0.21216554939746857
1500,-168833.34375,0.20441895723342896
1600,-162217.453125,0.24107679724693298
1700,-155699.625,0.2578415870666504
1800,-149283.765625,0.2716280221939087
1900,-142988.1875,0.2959367334842682
2000,-136804.84375,0.29825559258461
