iter,train_elbo,valid_rmse
1,-1398.26513671875,0.2327078878879547
100,-1362.0206298828125,0.16922622919082642
200,-1337.008056640625,0.15708854794502258
300,-1312.276123046875,0.1580868512392044
400,-1286.8289794921875,0.1545679271221161
500,-1262.4049072265625,0.15199972689151764
600,-1237.76171875,0.14843612909317017
700,-1212.599853515625,0.14715871214866638
800,-1187.8690185546875,0.15045148134231567
900,-1163.542724609375,0.15312907099723816
1000,-1138.5948486328125,0.15124933421611786
1100,-1114.1229248046875,0.152216374874115
1200,-1089.9515380859375,0.15160296857357025
1300,-1065.7593994140625,0.15336385369300842
1400,-1042.203857421875,0.15247315168380737
1500,-1018.9871826171875,0.15483678877353668
1600,-995.616943359375,0.15558946132659912
1700,-972.37255859375,0.1565908044576645
1800,-950.0003051757812,0.16018524765968323
1900,-927.9443359375,0.15815161168575287
2000,-906.3890991210938,0.1612744778394699
