iter,train_elbo,valid_rmse
1,-523.1502075195312,0.22384481132030487
100,-492.07354736328125,0.16074658930301666
200,-464.32745361328125,0.1623586267232895
300,-437.1720275878906,0.16731815040111542
400,-410.1620178222656,0.16395771503448486
500,-383.5749816894531,0.16288764774799347
600,-357.4045715332031,0.16392602026462555
700,-331.5316467285156,0.1713559925556183
800,-306.1714782714844,0.1697690784931183
900,-281.322021484375,0.173269122838974
1000,-257.2054138183594,0.17397432029247284
1100,-233.6261444091797,0.1824277639389038
1200,-210.85296630859375,0.18686269223690033
1300,-188.94302368164062,0.18866810202598572
1400,-167.86566162109375,0.19353921711444855
1500,-148.09231567382812,0.1957605630159378
1600,-129.1344757080078,0.2076696902513504
1700,-111.40335083007812,0.21388302743434906
1800,-95.14356994628906,0.22768642008304596
1900,-80.25511169433594,0.22985157370567322
2000,-66.7071533203125,0.24003112316131592
