iter,train_elbo,valid_rmse
1,-1033.7078857421875,0.2341381013393402
100,-1005.0949096679688,0.1646033078432083
200,-977.1642456054688,0.15732726454734802
300,-949.43505859375,0.16033951938152313
400,-921.729248046875,0.15621331334114075
500,-894.3296508789062,0.15593621134757996
600,-867.057373046875,0.15579329431056976
700,-839.9425659179688,0.1564100980758667
800,-812.9568481445312,0.16086941957473755
900,-786.2459106445312,0.1593523770570755
1000,-759.8214111328125,0.15882107615470886
1100,-733.5623168945312,0.16047829389572144
1200,-707.5740966796875,0.16244548559188843
1300,-681.8195190429688,0.1616026759147644
1400,-656.439697265625,0.16357488930225372
1500,-631.3950805664062,0.16162040829658508
1600,-606.642333984375,0.16406120359897614
1700,-582.2469482421875,0.16693389415740967
1800,-558.2865600585938,0.16685348749160767
1900,-534.753173828125,0.16735908389091492
2000,-511.6357421875,0.16989925503730774
