iter,train_elbo,valid_rmse
1,-718.3109741210938,0.2327049821615219
100,-689.810546875,0.17247165739536285
200,-661.9247436523438,0.16250668466091156
300,-634.298583984375,0.16360804438591003
400,-606.7791137695312,0.16448983550071716
500,-579.5599365234375,0.16320404410362244
600,-552.5394287109375,0.1590864509344101
700,-525.6917724609375,0.16148558259010315
800,-499.1122131347656,0.1639898270368576
900,-472.826171875,0.1712816059589386
1000,-446.8866271972656,0.1670120507478714
1100,-421.2468566894531,0.17365208268165588
1200,-396.0487060546875,0.17563559114933014
1300,-371.2250061035156,0.18283624947071075
1400,-346.884765625,0.18753498792648315
1500,-323.1397705078125,0.19111770391464233
1600,-299.8367919921875,0.20165877044200897
1700,-277.09326171875,0.20894061028957367
1800,-255.10667419433594,0.21494372189044952
1900,-233.9182586669922,0.22002379596233368
2000,-213.39700317382812,0.22758594155311584
