iter,train_elbo,valid_rmse
1,-1050.8743896484375,0.22385048866271973
100,-1009.9530029296875,0.1581224948167801
200,-981.7888793945312,0.1550752967596054
300,-954.8561401367188,0.15903304517269135
400,-927.4730224609375,0.15345348417758942
500,-900.62841796875,0.1528628170490265
600,-873.9757690429688,0.151230126619339
700,-847.1654663085938,0.15106073021888733
800,-820.7106323242188,0.1502344012260437
900,-794.3931884765625,0.14941006898880005
1000,-768.4775390625,0.14943936467170715
1100,-742.5447387695312,0.1496971696615219
1200,-716.9172973632812,0.15083925426006317
1300,-691.6505126953125,0.15004873275756836
1400,-666.5010986328125,0.1502005010843277
1500,-641.8968505859375,0.14908619225025177
1600,-617.4345703125,0.15119707584381104
1700,-593.2702026367188,0.15089593827724457
1800,-569.6370239257812,0.15375015139579773
1900,-546.5747680664062,0.1532399207353592
2000,-523.70751953125,0.1519971340894699
