iter,train_elbo,valid_rmse
1,-721.5994873046875,0.23270487785339355
100,-690.8298950195312,0.17078247666358948
200,-662.9881591796875,0.1597602516412735
300,-635.5386352539062,0.16056762635707855
400,-608.0137939453125,0.15887366235256195
500,-581.0631103515625,0.1561049073934555
600,-554.240234375,0.154754638671875
700,-527.4745483398438,0.15435075759887695
800,-501.0594177246094,0.15564081072807312
900,-475.015380859375,0.15832428634166718
1000,-449.1554260253906,0.15507249534130096
1100,-423.6542053222656,0.15908074378967285
1200,-398.6003723144531,0.15868110954761505
1300,-373.9039611816406,0.16397280991077423
1400,-349.76629638671875,0.164780855178833
1500,-326.23333740234375,0.16821414232254028
1600,-303.0470886230469,0.16992835700511932
1700,-280.3509521484375,0.17447642982006073
1800,-258.5537414550781,0.1778271645307541
1900,-237.54144287109375,0.1782069206237793
2000,-217.18280029296875,0.18112516403198242
