iter,train_elbo,valid_rmse
1,-1033.5421142578125,0.23270408809185028
100,-1005.7349853515625,0.17284277081489563
200,-977.8190307617188,0.16247619688510895
300,-950.0740356445312,0.16404739022254944
400,-922.451171875,0.16455097496509552
500,-895.0115356445312,0.1615244448184967
600,-867.7353515625,0.1578882485628128
700,-840.6041870117188,0.15929152071475983
800,-813.6515502929688,0.16374629735946655
900,-786.906005859375,0.1700620949268341
1000,-760.4608154296875,0.1635192334651947
1100,-734.1837158203125,0.17126448452472687
1200,-708.215087890625,0.175758495926857
1300,-682.4760131835938,0.1792410910129547
1400,-657.0455932617188,0.1834433376789093
1500,-631.9633178710938,0.18768635392189026
1600,-607.2123413085938,0.19437189400196075
1700,-582.8133544921875,0.19904330372810364
1800,-558.7979125976562,0.2004195600748062
1900,-535.24609375,0.20576053857803345
2000,-512.08447265625,0.21226926147937775
