iter,train_elbo,valid_rmse
1,-1033.5401611328125,0.22759109735488892
100,-1005.7223510742188,0.1652907282114029
200,-977.8131713867188,0.16483932733535767
300,-950.0747680664062,0.16830343008041382
400,-922.446533203125,0.16415750980377197
500,-895.0062255859375,0.16812004148960114
600,-867.7279663085938,0.16659517586231232
700,-840.5986328125,0.17037342488765717
800,-813.6492919921875,0.17462411522865295
900,-786.8995361328125,0.17549149692058563
1000,-760.4595947265625,0.17069564759731293
1100,-734.1806640625,0.18031448125839233
1200,-708.2095947265625,0.18296676874160767
1300,-682.469970703125,0.18532384932041168
1400,-657.0372314453125,0.18839316070079803
1500,-631.9545288085938,0.1883826106786728
1600,-607.201171875,0.19469018280506134
1700,-582.8016967773438,0.20193997025489807
1800,-558.7918090820312,0.20413227379322052
1900,-535.2333374023438,0.2082359939813614
2000,-512.0702514648438,0.21778354048728943
