iter,train_elbo,valid_rmse
1,-1050.7281494140625,0.22761857509613037
100,-1012.0557861328125,0.15894301235675812
200,-985.0887451171875,0.15591302514076233
300,-959.0823364257812,0.1586005687713623
400,-932.5875854492188,0.15240949392318726
500,-906.5430297851562,0.15342140197753906
600,-880.4840698242188,0.15330877900123596
700,-854.3857421875,0.15403656661510468
800,-828.4596557617188,0.15312284231185913
900,-802.6721801757812,0.1522175520658493
1000,-777.2424926757812,0.152836874127388
1100,-751.816162109375,0.15424899756908417
1200,-726.5771484375,0.154310405254364
1300,-701.7523803710938,0.15403376519680023
1400,-677.0166015625,0.15376803278923035
1500,-652.8649291992188,0.15294189751148224
1600,-628.7521362304688,0.15489645302295685
1700,-604.9529418945312,0.15436425805091858
1800,-581.7963256835938,0.15657052397727966
1900,-559.0619506835938,0.15504038333892822
2000,-536.547119140625,0.15546473860740662
