iter,train_elbo,valid_rmse
1,-276101.34375,0.23694491386413574
100,-268705.6875,0.18401962518692017
200,-261247.578125,0.1902252733707428
300,-253833.015625,0.19510352611541748
400,-246452.609375,0.18564105033874512
500,-239117.03125,0.20093640685081482
600,-231825.65625,0.20622488856315613
700,-224575.453125,0.2228863537311554
800,-217371.328125,0.22822265326976776
900,-210221.8125,0.23757795989513397
1000,-203154.0625,0.2367066890001297
1100,-196130.609375,0.25719472765922546
1200,-189189.28125,0.262210488319397
1300,-182309.28125,0.2796645164489746
1400,-175511.453125,0.28016045689582825
1500,-168804.0,0.2846139967441559
1600,-162190.953125,0.28848958015441895
1700,-155669.96875,0.29539933800697327
1800,-149249.0625,0.29887041449546814
1900,-142952.53125,0.3008790910243988
2000,-136761.03125,0.30466312170028687
