iter,train_elbo,valid_rmse
1,-69049.4296875,0.5239675045013428
100,-67194.625,0.34513938426971436
200,-65326.5390625,0.21000517904758453
300,-63472.95703125,0.20426277816295624
400,-61626.953125,0.19026291370391846
500,-59795.34765625,0.18232284486293793
600,-57972.07421875,0.18721310794353485
700,-56161.47265625,0.2000027447938919
800,-54357.109375,0.1847093105316162
900,-52571.75390625,0.1901271790266037
1000,-50805.50390625,0.17972862720489502
1100,-49050.4375,0.18751929700374603
1200,-47313.21875,0.20079848170280457
1300,-45592.2578125,0.19998867809772491
1400,-43895.7421875,0.19540543854236603
1500,-42219.75,0.1881875991821289
1600,-40565.265625,0.21977639198303223
1700,-38935.44921875,0.22656133770942688
1800,-37331.671875,0.22606432437896729
1900,-35758.16015625,0.2547825574874878
2000,-34211.859375,0.24844864010810852
