iter,train_elbo,valid_rmse
1,-1398.0704345703125,0.22759634256362915
100,-1358.1424560546875,0.16297706961631775
200,-1331.8360595703125,0.15860851109027863
300,-1305.7415771484375,0.1601296365261078
400,-1278.3759765625,0.15563464164733887
500,-1252.594482421875,0.15419913828372955
600,-1226.487060546875,0.1539827287197113
700,-1200.1536865234375,0.15435166656970978
800,-1174.5516357421875,0.15577855706214905
900,-1148.6771240234375,0.15399450063705444
1000,-1123.0992431640625,0.15290868282318115
1100,-1097.57666015625,0.1537800133228302
1200,-1072.4525146484375,0.1540452390909195
1300,-1047.3409423828125,0.1540319323539734
1400,-1022.6900024414062,0.1544065624475479
1500,-998.5228881835938,0.15363231301307678
1600,-974.2410888671875,0.15587878227233887
1700,-950.2569580078125,0.1558365374803543
1800,-927.034423828125,0.15632368624210358
1900,-904.124755859375,0.1564059555530548
2000,-881.4264526367188,0.15649735927581787
