iter,train_elbo,valid_rmse
1,-69028.1484375,0.2275865525007248
100,-67176.2265625,0.16977953910827637
200,-65311.6875,0.17431196570396423
300,-63458.30859375,0.1828947216272354
400,-61612.85546875,0.1811033934354782
500,-59779.20703125,0.18502697348594666
600,-57956.58203125,0.18573130667209625
700,-56143.953125,0.19329333305358887
800,-54343.1171875,0.20107649266719818
900,-52555.84375,0.20288826525211334
1000,-50789.1328125,0.1988067924976349
1100,-49033.3671875,0.21055586636066437
1200,-47297.9453125,0.22060300409793854
1300,-45578.28515625,0.22353258728981018
1400,-43878.73828125,0.22958621382713318
1500,-42202.5625,0.2324594408273697
1600,-40548.7421875,0.24290116131305695
1700,-38918.52734375,0.24610239267349243
1800,-37314.00390625,0.25200971961021423
1900,-35739.90625,0.2569129467010498
2000,-34192.14453125,0.2673417031764984
