iter,train_elbo,valid_rmse
1,-735.4444580078125,0.22385159134864807
100,-694.6105346679688,0.15825910866260529
200,-666.5597534179688,0.1559351533651352
300,-639.7645263671875,0.15938855707645416
400,-612.5578002929688,0.15370909869670868
500,-585.8815307617188,0.15250995755195618
600,-559.5098266601562,0.14997504651546478
700,-532.99169921875,0.15157963335514069
800,-506.9002990722656,0.15035004913806915
900,-481.0262756347656,0.1500663161277771
1000,-455.6287536621094,0.15135519206523895
1100,-430.3192138671875,0.15186923742294312
1200,-405.4404296875,0.15234865248203278
1300,-381.0640869140625,0.15232126414775848
1400,-356.9630126953125,0.15322622656822205
1500,-333.5973815917969,0.15173515677452087
1600,-310.5279846191406,0.1537407487630844
1700,-287.9991760253906,0.15412841737270355
1800,-266.28826904296875,0.1569252610206604
1900,-245.42449951171875,0.15544721484184265
2000,-225.03439331054688,0.1564171016216278
