iter,train_elbo,valid_rmse
1,-138052.421875,0.232683002948761
100,-134352.796875,0.17896489799022675
200,-130623.625,0.17609234154224396
300,-126916.546875,0.18610474467277527
400,-123226.0546875,0.19053678214550018
500,-119558.4453125,0.19152510166168213
600,-115913.1796875,0.1881513148546219
700,-112287.9140625,0.20462879538536072
800,-108685.9765625,0.21376124024391174
900,-105111.234375,0.2267758697271347
1000,-101577.6640625,0.22206953167915344
1100,-98066.015625,0.23624710738658905
1200,-94595.1875,0.24568451941013336
1300,-91155.5078125,0.2559780776500702
1400,-87756.78125,0.26327070593833923
1500,-84403.90625,0.2705397307872772
1600,-81096.671875,0.27612271904945374
1700,-77836.4296875,0.28234949707984924
1800,-74626.421875,0.28377559781074524
1900,-71478.421875,0.28995653986930847
2000,-68382.9375,0.2973327338695526
