iter,train_elbo,valid_rmse
1,-1397.762939453125,0.24133868515491486
100,-1365.753662109375,0.16786450147628784
200,-1343.528564453125,0.1544201821088791
300,-1321.7177734375,0.1559857875108719
400,-1298.7069091796875,0.15115471184253693
500,-1276.6553955078125,0.1493525207042694
600,-1254.3118896484375,0.14686216413974762
700,-1231.2935791015625,0.1458939015865326
800,-1208.165771484375,0.1474584937095642
900,-1185.7030029296875,0.14863567054271698
1000,-1162.6280517578125,0.14463211596012115
1100,-1139.8389892578125,0.14839762449264526
1200,-1117.131103515625,0.14730606973171234
1300,-1094.51025390625,0.1499531865119934
1400,-1072.2921142578125,0.15111757814884186
1500,-1050.410400390625,0.15158289670944214
1600,-1028.4442138671875,0.15153148770332336
1700,-1006.3513793945312,0.15282277762889862
1800,-985.3294067382812,0.1538286954164505
1900,-964.556396484375,0.1534181535243988
2000,-944.1393432617188,0.1544603556394577
