iter,train_elbo,valid_rmse
1,-34538.76171875,0.542309582233429
100,-33602.6484375,0.27772271633148193
200,-32667.583984375,0.20887435972690582
300,-31739.4765625,0.20237788558006287
400,-30816.193359375,0.18337082862854004
500,-29899.3046875,0.18433406949043274
600,-28987.609375,0.18424680829048157
700,-28081.3359375,0.1882329285144806
800,-27180.736328125,0.18624556064605713
900,-26286.990234375,0.1814143806695938
1000,-25403.51171875,0.1942635178565979
1100,-24525.78125,0.18270403146743774
1200,-23657.884765625,0.1909867227077484
1300,-22797.97265625,0.20200949907302856
1400,-21948.419921875,0.2023000419139862
1500,-21110.15625,0.19103938341140747
1600,-20283.10546875,0.20492954552173615
1700,-19467.96484375,0.20990321040153503
1800,-18665.615234375,0.21982812881469727
1900,-17878.53125,0.23502914607524872
2000,-17104.44921875,0.25899288058280945
