iter,train_elbo,valid_rmse
1,-138072.125,0.5208789110183716
100,-134376.5,0.4149147868156433
200,-130649.5234375,0.2520449459552765
300,-126936.6640625,0.2139866054058075
400,-123258.703125,0.2265307754278183
500,-119587.6015625,0.1742805540561676
600,-115944.1484375,0.18914085626602173
700,-112323.390625,0.174554705619812
800,-108719.3515625,0.19791556894779205
900,-105153.9921875,0.17793582379817963
1000,-101619.3203125,0.17913323640823364
1100,-98111.9140625,0.198750838637352
1200,-94641.3671875,0.1901848465204239
1300,-91197.2421875,0.17225970327854156
1400,-87797.765625,0.19640566408634186
1500,-84446.03125,0.21579766273498535
1600,-81139.8046875,0.22043663263320923
1700,-77883.6015625,0.22417321801185608
1800,-74677.4296875,0.24543696641921997
1900,-71529.515625,0.24329887330532074
2000,-68434.328125,0.26878464221954346
