iter,train_elbo,valid_rmse
1,-138039.953125,0.27414676547050476
100,-134357.234375,0.17087236046791077
200,-130621.953125,0.1601659655570984
300,-126899.3046875,0.16924835741519928
400,-123234.1875,0.16301488876342773
500,-119550.953125,0.164009228348732
600,-115900.9140625,0.16293402016162872
700,-112291.9296875,0.17791911959648132
800,-108687.5234375,0.17653734982013702
900,-105108.2890625,0.1888674646615982
1000,-101585.59375,0.18741032481193542
1100,-98068.1328125,0.19239622354507446
1200,-94588.6796875,0.19038748741149902
1300,-91152.4375,0.2144039124250412
1400,-87764.0234375,0.2196340262889862
1500,-84421.4921875,0.22156937420368195
1600,-81087.0234375,0.22880268096923828
1700,-77839.3359375,0.2381053864955902
1800,-74645.9609375,0.2395976483821869
1900,-71480.3984375,0.24710184335708618
2000,-68384.4296875,0.2598698139190674
