iter,train_elbo,valid_rmse
1,-1397.8360595703125,0.23413825035095215
100,-1361.06640625,0.16372869908809662
200,-1336.8193359375,0.1562681347131729
300,-1312.59033203125,0.16019098460674286
400,-1286.681396484375,0.15475799143314362
500,-1262.239501953125,0.15299451351165771
600,-1237.4512939453125,0.15337079763412476
700,-1212.398193359375,0.15315140783786774
800,-1187.7879638671875,0.1564752757549286
900,-1162.95947265625,0.15464328229427338
1000,-1138.390380859375,0.15226267278194427
1100,-1113.908935546875,0.15214507281780243
1200,-1089.537841796875,0.1533351093530655
1300,-1065.2667236328125,0.15363574028015137
1400,-1041.5294189453125,0.15320304036140442
1500,-1018.2266845703125,0.1521257609128952
1600,-994.700439453125,0.15268151462078094
1700,-971.4248046875,0.15631410479545593
1800,-949.087890625,0.15489110350608826
1900,-926.890625,0.1547771841287613
2000,-905.0404663085938,0.15548595786094666
