iter,train_elbo,valid_rmse
1,-69047.5234375,0.5178768038749695
100,-67200.359375,0.3797556757926941
200,-65332.59375,0.20874184370040894
300,-63479.04296875,0.20345772802829742
400,-61640.62109375,0.18574130535125732
500,-59806.5,0.1837502121925354
600,-57985.15625,0.17797982692718506
700,-56174.76171875,0.1824217140674591
800,-54374.64453125,0.17531849443912506
900,-52591.66796875,0.1621551513671875
1000,-50824.73046875,0.16151048243045807
1100,-49071.84765625,0.17435316741466522
1200,-47336.9375,0.1758463978767395
1300,-45614.83984375,0.18227681517601013
1400,-43915.69921875,0.18538616597652435
1500,-42239.96484375,0.1976168006658554
1600,-40587.26171875,0.20581547915935516
1700,-38959.43359375,0.21931786835193634
1800,-37356.3515625,0.23776821792125702
1900,-35782.1015625,0.21839623153209686
2000,-34234.83984375,0.25007009506225586
