iter,train_elbo,valid_rmse
1,-1051.833740234375,0.234139084815979
100,-1015.0731811523438,0.16373276710510254
200,-990.8469848632812,0.15635216236114502
300,-966.6583251953125,0.15975694358348846
400,-940.756591796875,0.15354697406291962
500,-916.2802734375,0.15430545806884766
600,-891.548583984375,0.15306083858013153
700,-866.5044555664062,0.15346133708953857
800,-842.013916015625,0.15540935099124908
900,-817.1539916992188,0.1535724401473999
1000,-792.6500854492188,0.15240207314491272
1100,-768.1686401367188,0.1533266007900238
1200,-743.9564819335938,0.15468564629554749
1300,-719.7091064453125,0.15508784353733063
1400,-696.0608520507812,0.1561039388179779
1500,-672.8826904296875,0.15506611764431
1600,-649.55224609375,0.1549210250377655
1700,-626.412841796875,0.1572268009185791
1800,-604.2586059570312,0.15660542249679565
1900,-582.2976684570312,0.15646207332611084
2000,-560.669189453125,0.15628282725811005
