iter,train_elbo,valid_rmse
1,-537.3423461914062,0.22385273873806
100,-496.8051452636719,0.15869851410388947
200,-469.1435546875,0.15782500803470612
300,-442.7773742675781,0.16136983036994934
400,-416.1468505859375,0.15433205664157867
500,-390.13189697265625,0.15333905816078186
600,-364.5279541015625,0.15275396406650543
700,-339.0221862792969,0.15321095287799835
800,-314.0857849121094,0.1531454175710678
900,-289.6339111328125,0.1536588817834854
1000,-265.93231201171875,0.15276885032653809
1100,-242.60955810546875,0.15636833012104034
1200,-220.05548095703125,0.15654906630516052
1300,-198.4645538330078,0.1554618775844574
1400,-177.4935302734375,0.15657733380794525
1500,-157.9039764404297,0.1568598449230194
1600,-138.97508239746094,0.1600244641304016
1700,-121.1204833984375,0.16278746724128723
1800,-104.87686920166016,0.16656208038330078
1900,-89.882568359375,0.16754738986492157
2000,-76.05445861816406,0.16920553147792816
