iter,train_elbo,valid_rmse
1,-69026.7734375,0.2464873492717743
100,-67177.8671875,0.16378304362297058
200,-65311.63671875,0.16410019993782043
300,-63456.28125,0.16984733939170837
400,-61615.5078125,0.17232003808021545
500,-59778.44921875,0.17238332331180573
600,-57956.63671875,0.17545083165168762
700,-56144.30078125,0.17649197578430176
800,-54341.88671875,0.1849302351474762
900,-52558.26171875,0.18761500716209412
1000,-50790.8046875,0.18985813856124878
1100,-49036.3203125,0.19436316192150116
1200,-47300.59765625,0.19656582176685333
1300,-45577.74609375,0.20661047101020813
1400,-43877.36328125,0.21171598136425018
1500,-42201.60546875,0.21155016124248505
1600,-40548.15234375,0.2238246202468872
1700,-38919.6875,0.22970588505268097
1800,-37316.7421875,0.23319438099861145
1900,-35742.40625,0.2369152009487152
2000,-34195.02734375,0.24458308517932892
