iter,train_elbo,valid_rmse
1,-718.208984375,0.22761206328868866
100,-689.697265625,0.16249902546405792
200,-661.8123168945312,0.15963661670684814
300,-634.2052001953125,0.16645728051662445
400,-606.7091064453125,0.16040904819965363
500,-579.478759765625,0.16131694614887238
600,-552.4430541992188,0.16299541294574738
700,-525.6256713867188,0.16739961504936218
800,-498.98089599609375,0.16898934543132782
900,-472.69622802734375,0.16969330608844757
1000,-446.8087158203125,0.17104488611221313
1100,-421.1699523925781,0.179811492562294
1200,-395.9189758300781,0.18238461017608643
1300,-371.0782775878906,0.18457207083702087
1400,-346.7356872558594,0.19422857463359833
1500,-322.94830322265625,0.19696655869483948
1600,-299.6368713378906,0.2055097073316574
1700,-276.9411926269531,0.21212820708751678
1800,-254.9545440673828,0.22586844861507416
1900,-233.70960998535156,0.22659806907176971
2000,-213.21011352539062,0.23142468929290771
