iter,train_elbo,valid_rmse
1,-538.228759765625,0.2413390427827835
100,-506.5744323730469,0.1678801029920578
200,-484.7919921875,0.1543695032596588
300,-463.383544921875,0.1546219289302826
400,-441.06396484375,0.15465599298477173
500,-419.66497802734375,0.15181119740009308
600,-398.3367004394531,0.14910459518432617
700,-376.1445617675781,0.1480892300605774
800,-354.3005065917969,0.15160658955574036
900,-333.2025451660156,0.15115727484226227
1000,-311.6815185546875,0.14834894239902496
1100,-290.7449645996094,0.1519487351179123
1200,-270.33428955078125,0.14957773685455322
1300,-250.145263671875,0.1510934829711914
1400,-230.94952392578125,0.15395082533359528
1500,-212.6704864501953,0.15380406379699707
1600,-194.25364685058594,0.15555788576602936
1700,-176.37208557128906,0.15818758308887482
1800,-160.11631774902344,0.1595851629972458
1900,-144.70730590820312,0.15996715426445007
2000,-129.97677612304688,0.1591092348098755
