iter,train_hvm_elbo,valid_rmse
1,-13219.4140625,0.3292279839515686
50,-13182.060546875,0.33915671706199646
100,-13169.5576171875,0.34206703305244446
150,-13145.4375,0.3347960412502289
200,-13142.255859375,0.3308834433555603
250,-13119.466796875,0.35698288679122925
300,-13112.1123046875,0.31966790556907654
350,-13061.486328125,0.35333386063575745
400,-13061.8828125,0.36197781562805176
450,-13009.373046875,0.33030250668525696
500,-13007.119140625,0.3592084050178528
