iter,train_elbo,valid_rmse
1,-34538.28515625,0.5309451222419739
100,-33603.609375,0.2801472544670105
200,-32669.677734375,0.1945027858018875
300,-31742.896484375,0.2009166032075882
400,-30819.572265625,0.19417403638362885
500,-29904.111328125,0.18706214427947998
600,-28992.4453125,0.1926993578672409
700,-28087.427734375,0.19948209822177887
800,-27184.76171875,0.19553597271442413
900,-26292.47265625,0.1925971806049347
1000,-25409.625,0.19561931490898132
1100,-24532.228515625,0.19407914578914642
1200,-23663.486328125,0.19859740138053894
1300,-22803.169921875,0.1918027698993683
1400,-21954.794921875,0.20252490043640137
1500,-21116.8515625,0.19312509894371033
1600,-20289.615234375,0.1885511875152588
1700,-19474.71484375,0.2216450423002243
1800,-18673.0078125,0.2385503053665161
1900,-17886.01171875,0.23244234919548035
2000,-17112.951171875,0.23311375081539154
