iter,train_elbo,valid_rmse
1,-1051.760498046875,0.24133826792240143
100,-1019.7607421875,0.16789311170578003
200,-997.5256958007812,0.1548774540424347
300,-975.7477416992188,0.15455202758312225
400,-952.827880859375,0.1521628499031067
500,-930.6964111328125,0.14876356720924377
600,-908.4880981445312,0.14605970680713654
700,-885.2915649414062,0.14472521841526031
800,-862.292724609375,0.1459488868713379
900,-839.8713989257812,0.14801667630672455
1000,-816.7897338867188,0.14591792225837708
1100,-794.0637817382812,0.14808988571166992
1200,-771.3809814453125,0.14675357937812805
1300,-748.7770385742188,0.14882315695285797
1400,-726.7420654296875,0.15065555274486542
1500,-705.0405883789062,0.1514786332845688
1600,-682.9932861328125,0.15219931304454803
1700,-661.1231079101562,0.15469573438167572
1800,-640.192626953125,0.15638521313667297
1900,-619.5101318359375,0.15612134337425232
2000,-599.209716796875,0.1555250585079193
