iter,train_elbo,valid_rmse
1,-1396.876708984375,0.223851278424263
100,-1355.9449462890625,0.15812598168849945
200,-1327.7686767578125,0.1550782024860382
300,-1300.82080078125,0.1590879112482071
400,-1273.437255859375,0.15218722820281982
500,-1246.54541015625,0.15214359760284424
600,-1219.8785400390625,0.1511276364326477
700,-1193.0328369140625,0.15180860459804535
800,-1166.5242919921875,0.1504722237586975
900,-1140.1790771484375,0.149625763297081
1000,-1114.193603515625,0.1504734605550766
1100,-1088.189208984375,0.15200074017047882
1200,-1062.45556640625,0.15167589485645294
1300,-1037.0966796875,0.1500961035490036
1400,-1011.8373413085938,0.15022218227386475
1500,-987.083984375,0.14906083047389984
1600,-962.4249267578125,0.15110018849372864
1700,-938.0921020507812,0.15140527486801147
1800,-914.2439575195312,0.15352758765220642
1900,-890.9065551757812,0.15182429552078247
2000,-867.7180786132812,0.1522609442472458
