iter,train_elbo,valid_rmse
1,-69050.140625,0.5357438921928406
100,-67193.8515625,0.39523783326148987
200,-65323.296875,0.20950816571712494
300,-63470.0390625,0.2002054750919342
400,-61623.79296875,0.1888875812292099
500,-59789.9140625,0.18040627241134644
600,-57967.2578125,0.1903114765882492
700,-56154.2734375,0.19068430364131927
800,-54353.875,0.19092947244644165
900,-52566.1953125,0.19297388195991516
1000,-50799.26953125,0.1811314821243286
1100,-49043.6640625,0.20026010274887085
1200,-47308.32421875,0.1839241087436676
1300,-45588.328125,0.20399798452854156
1400,-43888.98046875,0.21171994507312775
1500,-42212.52734375,0.20833459496498108
1600,-40558.77734375,0.22147329151630402
1700,-38928.4609375,0.23353885114192963
1800,-37323.80859375,0.24294400215148926
1900,-35749.76953125,0.2569018304347992
2000,-34201.6015625,0.27756401896476746
