iter,train_elbo,valid_rmse
1,-735.298095703125,0.22762005031108856
100,-696.705078125,0.1591343730688095
200,-669.8341064453125,0.15600275993347168
300,-644.001220703125,0.16071239113807678
400,-617.6808471679688,0.15373240411281586
500,-591.7987060546875,0.1555934101343155
600,-565.9790649414062,0.1519576609134674
700,-540.164306640625,0.15182135999202728
800,-514.6260986328125,0.1519375741481781
900,-489.2227478027344,0.15184815227985382
1000,-464.2945861816406,0.15238045156002045
1100,-439.46234130859375,0.15327394008636475
1200,-414.9158630371094,0.15512318909168243
1300,-390.9527893066406,0.1533070057630539
1400,-367.1815490722656,0.1543688327074051
1500,-344.2013244628906,0.15291471779346466
1600,-321.3910827636719,0.15436337888240814
1700,-299.11285400390625,0.15530283749103546
1800,-277.7828674316406,0.16132961213588715
1900,-257.0517883300781,0.1603366732597351
2000,-236.86817932128906,0.15961386263370514
