iter,train_elbo,valid_rmse
1,-34537.8359375,0.5181443095207214
100,-33610.51953125,0.3373386859893799
200,-32677.193359375,0.20475362241268158
300,-31751.068359375,0.21062898635864258
400,-30833.42578125,0.198264017701149
500,-29916.556640625,0.19769048690795898
600,-29007.072265625,0.19130529463291168
700,-28101.853515625,0.176129549741745
800,-27202.201171875,0.1750129908323288
900,-26311.544921875,0.17935064435005188
1000,-25428.990234375,0.1693294495344162
1100,-24552.419921875,0.1903330534696579
1200,-23685.505859375,0.1814771145582199
1300,-22824.8828125,0.1966247856616974
1400,-21975.6171875,0.1738111674785614
1500,-21137.896484375,0.18932896852493286
1600,-20311.357421875,0.18891122937202454
1700,-19497.5859375,0.20793017745018005
1800,-18696.302734375,0.2217477560043335
1900,-17909.22265625,0.21557296812534332
2000,-17135.59765625,0.23302790522575378
