iter,train_elbo,valid_rmse
1,-523.3854370117188,0.23413611948490143
100,-492.7682189941406,0.16605116426944733
200,-465.47216796875,0.16002754867076874
300,-438.5603942871094,0.1648816466331482
400,-411.47418212890625,0.15905342996120453
500,-385.1905822753906,0.16331501305103302
600,-359.15667724609375,0.1615637242794037
700,-333.4174499511719,0.16332057118415833
800,-308.2206115722656,0.16936448216438293
900,-283.5236511230469,0.17006315290927887
1000,-259.435302734375,0.16744662821292877
1100,-236.0012969970703,0.17406906187534332
1200,-213.31390380859375,0.17919041216373444
1300,-191.39120483398438,0.1808205544948578
1400,-170.47897338867188,0.1874220371246338
1500,-150.916015625,0.18932348489761353
1600,-131.96240234375,0.1983635574579239
1700,-114.1544418334961,0.20640945434570312
1800,-98.0302505493164,0.2101573497056961
1900,-83.15767669677734,0.2130502164363861
2000,-69.59632873535156,0.22072279453277588
