iter,train_elbo,valid_rmse
1,-1033.528564453125,0.22384992241859436
100,-1005.7172241210938,0.1609964519739151
200,-977.8024291992188,0.16135863959789276
300,-950.064453125,0.1673562228679657
400,-922.4467163085938,0.16334272921085358
500,-895.0011596679688,0.16351015865802765
600,-867.7251586914062,0.16468903422355652
700,-840.5975341796875,0.1680392026901245
800,-813.6434326171875,0.16673707962036133
900,-786.8952026367188,0.17040222883224487
1000,-760.4578247070312,0.169388085603714
1100,-734.1792602539062,0.1760244518518448
1200,-708.2055053710938,0.17787685990333557
1300,-682.4720458984375,0.17829300463199615
1400,-657.0361328125,0.18116584420204163
1500,-631.9467163085938,0.18453098833560944
1600,-607.1947631835938,0.1937633603811264
1700,-582.8002319335938,0.19993053376674652
1800,-558.7855224609375,0.2124631106853485
1900,-535.227783203125,0.21518142521381378
2000,-512.0620727539062,0.22442412376403809
