rank_best_elbo,run_dir,best_elbo,iter_at_best_elbo,last_elbo,delta_best_elbo_vs_best,test_rmse,valid_rmse,batch_size,n_mc_samples,use_sigmoid_output,n_iters,prior_stddev,likelihood_stddev,hidden_sizes,step_size,init_q_stddev,seed,elbo_column,history_csv
14,arch_100_iters_2000_bs_128_mc_50_lr_0p001_prior_0p5_lik_0p1_qstd_0p05_sigmoid_seed_101,-67.68733978271484,2000,-67.68733978271484,1.764251708984375,0.13530945777893066,0.22930318117141724,128,50,True,2000,0.5,0.1,100,0.001,0.05,101,train_elbo,hvm/hparam_results/arch_100_iters_2000_bs_128_mc_50_lr_0p001_prior_0p5_lik_0p1_qstd_0p05_sigmoid_seed_101/history.csv
15,arch_100_iters_2000_bs_64_mc_100_lr_0p001_prior_0p5_lik_0p1_qstd_0p05_sigmoid_seed_101,-67.68975830078125,2000,-67.68975830078125,1.7666702270507812,0.13664168119430542,0.22662097215652466,64,100,True,2000,0.5,0.1,100,0.001,0.05,101,train_elbo,hvm/hparam_results/arch_100_iters_2000_bs_64_mc_100_lr_0p001_prior_0p5_lik_0p1_qstd_0p05_sigmoid_seed_101/history.csv
16,arch_100_iters_2000_bs_32_mc_100_lr_0p001_prior_0p5_lik_0p1_qstd_0p05_sigmoid_seed_101,-69.58792114257812,2000,-69.58792114257812,3.6648330688476562,0.13700523972511292,0.22165769338607788,32,100,True,2000,0.5,0.1,100,0.001,0.05,101,train_elbo,hvm/hparam_results/arch_100_iters_2000_bs_32_mc_100_lr_0p001_prior_0p5_lik_0p1_qstd_0p05_sigmoid_seed_101/history.csv
17,arch_100_iters_2000_bs_64_mc_50_lr_0p001_prior_0p5_lik_0p1_qstd_0p05_sigmoid_seed_101,-69.59632873535156,2000,-69.59632873535156,3.6732406616210938,0.13626399636268616,0.22072279453277588,64,50,True,2000,0.5,0.1,100,0.001,0.05,101,train_elbo,hvm/hparam_results/arch_100_iters_2000_bs_64_mc_50_lr_0p001_prior_0p5_lik_0p1_qstd_0p05_sigmoid_seed_101/history.csv
18,arch_100_iters_2000_bs_32_mc_50_lr_0p001_prior_0p5_lik_0p1_qstd_0p05_sigmoid_seed_101,-73.44413757324219,2000,-73.44413757324219,7.521049499511719,0.13703252375125885,0.20844249427318573,32,50,True,2000,0.5,0.1,100,0.001,0.05,101,train_elbo,hvm/hparam_results/arch_100_iters_2000_bs_32_mc_50_lr_0p001_prior_0p5_lik_0p1_qstd_0p05_sigmoid_seed_101/history.csv
19,arch_100_iters_2000_bs_128_mc_100_lr_0p001_prior_0p5_lik_0p05_qstd_0p05_sigmoid_seed_101,-76.05445861816406,2000,-76.05445861816406,10.131370544433594,0.13489468395709991,0.16920553147792816,128,100,True,2000,0.5,0.05,100,0.001,0.05,101,train_elbo,hvm/hparam_results/arch_100_iters_2000_bs_128_mc_100_lr_0p001_prior_0p5_lik_0p05_qstd_0p05_sigmoid_seed_101/history.csv
20,arch_100_iters_2000_bs_128_mc_50_lr_0p001_prior_0p5_lik_0p05_qstd_0p05_sigmoid_seed_101,-85.12019348144531,2000,-85.12019348144531,19.197105407714844,0.13458222150802612,0.1667424738407135,128,50,True,2000,0.5,0.05,100,0.001,0.05,101,train_elbo,hvm/hparam_results/arch_100_iters_2000_bs_128_mc_50_lr_0p001_prior_0p5_lik_0p05_qstd_0p05_sigmoid_seed_101/history.csv
21,arch_100_iters_2000_bs_64_mc_100_lr_0p001_prior_0p5_lik_0p05_qstd_0p05_sigmoid_seed_101,-85.2861099243164,2000,-85.2861099243164,19.363021850585938,0.13508489727973938,0.1683189868927002,64,100,True,2000,0.5,0.05,100,0.001,0.05,101,train_elbo,hvm/hparam_results/arch_100_iters_2000_bs_64_mc_100_lr_0p001_prior_0p5_lik_0p05_qstd_0p05_sigmoid_seed_101/history.csv
22,arch_100_iters_2000_bs_64_mc_50_lr_0p001_prior_0p5_lik_0p05_qstd_0p05_sigmoid_seed_101,-101.96979522705078,2000,-101.96979522705078,36.04670715332031,0.13420285284519196,0.16306522488594055,64,50,True,2000,0.5,0.05,100,0.001,0.05,101,train_elbo,hvm/hparam_results/arch_100_iters_2000_bs_64_mc_50_lr_0p001_prior_0p5_lik_0p05_qstd_0p05_sigmoid_seed_101/history.csv
23,arch_100_iters_2000_bs_32_mc_100_lr_0p001_prior_0p5_lik_0p05_qstd_0p05_sigmoid_seed_101,-102.42292022705078,2000,-102.42292022705078,36.49983215332031,0.13473179936408997,0.16924183070659637,32,100,True,2000,0.5,0.05,100,0.001,0.05,101,train_elbo,hvm/hparam_results/arch_100_iters_2000_bs_32_mc_100_lr_0p001_prior_0p5_lik_0p05_qstd_0p05_sigmoid_seed_101/history.csv
24,arch_100_iters_2000_bs_32_mc_50_lr_0p001_prior_0p5_lik_0p05_qstd_0p05_sigmoid_seed_101,-129.97677612304688,2000,-129.97677612304688,64.0536880493164,0.13447205722332,0.1591092348098755,32,50,True,2000,0.5,0.05,100,0.001,0.05,101,train_elbo,hvm/hparam_results/arch_100_iters_2000_bs_32_mc_50_lr_0p001_prior_0p5_lik_0p05_qstd_0p05_sigmoid_seed_101/history.csv
25,arch_100_iters_2000_bs_128_mc_100_lr_0p001_prior_1p0_lik_0p2_qstd_0p05_sigmoid_seed_101,-213.06915283203125,2000,-213.06915283203125,147.14606475830078,0.13575337827205658,0.24396443367004395,128,100,True,2000,1.0,0.2,100,0.001,0.05,101,train_elbo,hvm/hparam_results/arch_100_iters_2000_bs_128_mc_100_lr_0p001_prior_1p0_lik_0p2_qstd_0p05_sigmoid_seed_101/history.csv
26,arch_100_iters_2000_bs_64_mc_100_lr_0p001_prior_1p0_lik_0p2_qstd_0p05_sigmoid_seed_101,-213.18519592285156,2000,-213.18519592285156,147.2621078491211,0.13687549531459808,0.2330569624900818,64,100,True,2000,1.0,0.2,100,0.001,0.05,101,train_elbo,hvm/hparam_results/arch_100_iters_2000_bs_64_mc_100_lr_0p001_prior_1p0_lik_0p2_qstd_0p05_sigmoid_seed_101/history.csv
27,arch_100_iters_2000_bs_128_mc_50_lr_0p001_prior_1p0_lik_0p2_qstd_0p05_sigmoid_seed_101,-213.21011352539062,2000,-213.21011352539062,147.28702545166016,0.13539466261863708,0.23142468929290771,128,50,True,2000,1.0,0.2,100,0.001,0.05,101,train_elbo,hvm/hparam_results/arch_100_iters_2000_bs_128_mc_50_lr_0p001_prior_1p0_lik_0p2_qstd_0p05_sigmoid_seed_101/history.csv
28,arch_100_iters_2000_bs_32_mc_100_lr_0p001_prior_1p0_lik_0p2_qstd_0p05_sigmoid_seed_101,-213.39700317382812,2000,-213.39700317382812,147.47391510009766,0.1370329111814499,0.22758594155311584,32,100,True,2000,1.0,0.2,100,0.001,0.05,101,train_elbo,hvm/hparam_results/arch_100_iters_2000_bs_32_mc_100_lr_0p001_prior_1p0_lik_0p2_qstd_0p05_sigmoid_seed_101/history.csv
29,arch_100_iters_2000_bs_64_mc_50_lr_0p001_prior_1p0_lik_0p2_qstd_0p05_sigmoid_seed_101,-213.41526794433594,2000,-213.41526794433594,147.49217987060547,0.13633215427398682,0.22571058571338654,64,50,True,2000,1.0,0.2,100,0.001,0.05,101,train_elbo,hvm/hparam_results/arch_100_iters_2000_bs_64_mc_50_lr_0p001_prior_1p0_lik_0p2_qstd_0p05_sigmoid_seed_101/history.csv
30,arch_100_iters_2000_bs_128_mc_100_lr_0p001_prior_1p0_lik_0p5_qstd_0p05_sigmoid_seed_101,-213.67843627929688,2000,-213.67843627929688,147.7553482055664,0.14149987697601318,0.2935238778591156,128,100,True,2000,1.0,0.5,100,0.001,0.05,101,train_elbo,hvm/hparam_results/arch_100_iters_2000_bs_128_mc_100_lr_0p001_prior_1p0_lik_0p5_qstd_0p05_sigmoid_seed_101/history.csv
31,arch_100_iters_2000_bs_64_mc_100_lr_0p001_prior_1p0_lik_0p5_qstd_0p05_sigmoid_seed_101,-213.68618774414062,2000,-213.68618774414062,147.76309967041016,0.14284373819828033,0.2895403802394867,64,100,True,2000,1.0,0.5,100,0.001,0.05,101,train_elbo,hvm/hparam_results/arch_100_iters_2000_bs_64_mc_100_lr_0p001_prior_1p0_lik_0p5_qstd_0p05_sigmoid_seed_101/history.csv
32,arch_100_iters_2000_bs_32_mc_100_lr_0p001_prior_1p0_lik_0p5_qstd_0p05_sigmoid_seed_101,-213.7085723876953,2000,-213.7085723876953,147.78548431396484,0.14396966993808746,0.28356316685676575,32,100,True,2000,1.0,0.5,100,0.001,0.05,101,train_elbo,hvm/hparam_results/arch_100_iters_2000_bs_32_mc_100_lr_0p001_prior_1p0_lik_0p5_qstd_0p05_sigmoid_seed_101/history.csv
33,arch_100_iters_2000_bs_128_mc_100_lr_0p001_prior_1p0_lik_0p1_qstd_0p05_sigmoid_seed_101,-213.720703125,2000,-213.720703125,147.79761505126953,0.1347174346446991,0.17419949173927307,128,100,True,2000,1.0,0.1,100,0.001,0.05,101,train_elbo,hvm/hparam_results/arch_100_iters_2000_bs_128_mc_100_lr_0p001_prior_1p0_lik_0p1_qstd_0p05_sigmoid_seed_101/history.csv
34,arch_100_iters_2000_bs_128_mc_50_lr_0p001_prior_1p0_lik_0p5_qstd_0p05_sigmoid_seed_101,-213.72979736328125,2000,-213.72979736328125,147.80670928955078,0.14132899045944214,0.2894057631492615,128,50,True,2000,1.0,0.5,100,0.001,0.05,101,train_elbo,hvm/hparam_results/arch_100_iters_2000_bs_128_mc_50_lr_0p001_prior_1p0_lik_0p5_qstd_0p05_sigmoid_seed_101/history.csv
35,arch_100_iters_2000_bs_64_mc_50_lr_0p001_prior_1p0_lik_0p5_qstd_0p05_sigmoid_seed_101,-213.74330139160156,2000,-213.74330139160156,147.8202133178711,0.14215101301670074,0.283464640378952,64,50,True,2000,1.0,0.5,100,0.001,0.05,101,train_elbo,hvm/hparam_results/arch_100_iters_2000_bs_64_mc_50_lr_0p001_prior_1p0_lik_0p5_qstd_0p05_sigmoid_seed_101/history.csv
36,arch_100_iters_2000_bs_32_mc_50_lr_0p001_prior_1p0_lik_0p5_qstd_0p05_sigmoid_seed_101,-213.77978515625,2000,-213.77978515625,147.85669708251953,0.1427062451839447,0.27729532122612,32,50,True,2000,1.0,0.5,100,0.001,0.05,101,train_elbo,hvm/hparam_results/arch_100_iters_2000_bs_32_mc_50_lr_0p001_prior_1p0_lik_0p5_qstd_0p05_sigmoid_seed_101/history.csv
37,arch_100_iters_2000_bs_32_mc_50_lr_0p001_prior_1p0_lik_0p2_qstd_0p05_sigmoid_seed_101,-213.8485565185547,2000,-213.8485565185547,147.92546844482422,0.13692983984947205,0.2178969532251358,32,50,True,2000,1.0,0.2,100,0.001,0.05,101,train_elbo,hvm/hparam_results/arch_100_iters_2000_bs_32_mc_50_lr_0p001_prior_1p0_lik_0p2_qstd_0p05_sigmoid_seed_101/history.csv
38,arch_100_iters_2000_bs_128_mc_50_lr_0p001_prior_1p0_lik_0p1_qstd_0p05_sigmoid_seed_101,-214.8143310546875,2000,-214.8143310546875,148.89124298095703,0.1344967633485794,0.17756618559360504,128,50,True,2000,1.0,0.1,100,0.001,0.05,101,train_elbo,hvm/hparam_results/arch_100_iters_2000_bs_128_mc_50_lr_0p001_prior_1p0_lik_0p1_qstd_0p05_sigmoid_seed_101/history.csv
39,arch_100_iters_2000_bs_64_mc_100_lr_0p001_prior_1p0_lik_0p1_qstd_0p05_sigmoid_seed_101,-214.82411193847656,2000,-214.82411193847656,148.9010238647461,0.1352095752954483,0.18122470378875732,64,100,True,2000,1.0,0.1,100,0.001,0.05,101,train_elbo,hvm/hparam_results/arch_100_iters_2000_bs_64_mc_100_lr_0p001_prior_1p0_lik_0p1_qstd_0p05_sigmoid_seed_101/history.csv
40,arch_100_iters_2000_bs_64_mc_50_lr_0p001_prior_1p0_lik_0p1_qstd_0p05_sigmoid_seed_101,-217.14483642578125,2000,-217.14483642578125,151.22174835205078,0.13467441499233246,0.18067970871925354,64,50,True,2000,1.0,0.1,100,0.001,0.05,101,train_elbo,hvm/hparam_results/arch_100_iters_2000_bs_64_mc_50_lr_0p001_prior_1p0_lik_0p1_qstd_0p05_sigmoid_seed_101/history.csv
41,arch_100_iters_2000_bs_32_mc_100_lr_0p001_prior_1p0_lik_0p1_qstd_0p05_sigmoid_seed_101,-217.18280029296875,2000,-217.18280029296875,151.25971221923828,0.13514751195907593,0.18112516403198242,32,100,True,2000,1.0,0.1,100,0.001,0.05,101,train_elbo,hvm/hparam_results/arch_100_iters_2000_bs_32_mc_100_lr_0p001_prior_1p0_lik_0p1_qstd_0p05_sigmoid_seed_101/history.csv
42,arch_100_iters_2000_bs_32_mc_50_lr_0p001_prior_1p0_lik_0p1_qstd_0p05_sigmoid_seed_101,-222.05636596679688,2000,-222.05636596679688,156.1332778930664,0.13566985726356506,0.17433638870716095,32,50,True,2000,1.0,0.1,100,0.001,0.05,101,train_elbo,hvm/hparam_results/arch_100_iters_2000_bs_32_mc_50_lr_0p001_prior_1p0_lik_0p1_qstd_0p05_sigmoid_seed_101/history.csv
43,arch_100_iters_2000_bs_128_mc_100_lr_0p001_prior_1p0_lik_0p05_qstd_0p05_sigmoid_seed_101,-225.03439331054688,2000,-225.03439331054688,159.1113052368164,0.1348496675491333,0.1564171016216278,128,100,True,2000,1.0,0.05,100,0.001,0.05,101,train_elbo,hvm/hparam_results/arch_100_iters_2000_bs_128_mc_100_lr_0p001_prior_1p0_lik_0p05_qstd_0p05_sigmoid_seed_101/history.csv
44,arch_100_iters_2000_bs_128_mc_50_lr_0p001_prior_1p0_lik_0p05_qstd_0p05_sigmoid_seed_101,-236.86817932128906,2000,-236.86817932128906,170.9450912475586,0.13489456474781036,0.15961386263370514,128,50,True,2000,1.0,0.05,100,0.001,0.05,101,train_elbo,hvm/hparam_results/arch_100_iters_2000_bs_128_mc_50_lr_0p001_prior_1p0_lik_0p05_qstd_0p05_sigmoid_seed_101/history.csv
45,arch_100_iters_2000_bs_64_mc_100_lr_0p001_prior_1p0_lik_0p05_qstd_0p05_sigmoid_seed_101,-237.4199981689453,2000,-237.4199981689453,171.49691009521484,0.1346694678068161,0.16125570237636566,64,100,True,2000,1.0,0.05,100,0.001,0.05,101,train_elbo,hvm/hparam_results/arch_100_iters_2000_bs_64_mc_100_lr_0p001_prior_1p0_lik_0p05_qstd_0p05_sigmoid_seed_101/history.csv
46,arch_100_iters_2000_bs_64_mc_50_lr_0p001_prior_1p0_lik_0p05_qstd_0p05_sigmoid_seed_101,-259.0657043457031,2000,-259.0657043457031,193.14261627197266,0.134587824344635,0.15921643376350403,64,50,True,2000,1.0,0.05,100,0.001,0.05,101,train_elbo,hvm/hparam_results/arch_100_iters_2000_bs_64_mc_50_lr_0p001_prior_1p0_lik_0p05_qstd_0p05_sigmoid_seed_101/history.csv
47,arch_100_iters_2000_bs_32_mc_100_lr_0p001_prior_1p0_lik_0p05_qstd_0p05_sigmoid_seed_101,-260.0135498046875,2000,-260.0135498046875,194.09046173095703,0.1344490945339203,0.1629713624715805,32,100,True,2000,1.0,0.05,100,0.001,0.05,101,train_elbo,hvm/hparam_results/arch_100_iters_2000_bs_32_mc_100_lr_0p001_prior_1p0_lik_0p05_qstd_0p05_sigmoid_seed_101/history.csv
48,arch_100_iters_2000_bs_32_mc_50_lr_0p001_prior_1p0_lik_0p05_qstd_0p05_sigmoid_seed_101,-294.99884033203125,2000,-294.99884033203125,229.07575225830078,0.13485756516456604,0.15418557822704315,32,50,True,2000,1.0,0.05,100,0.001,0.05,101,train_elbo,hvm/hparam_results/arch_100_iters_2000_bs_32_mc_50_lr_0p001_prior_1p0_lik_0p05_qstd_0p05_sigmoid_seed_101/history.csv
49,arch_100_iters_2000_bs_128_mc_100_lr_0p001_prior_3p0_lik_0p2_qstd_0p05_sigmoid_seed_101,-511.3304138183594,2000,-511.3304138183594,445.4073257446289,0.1346522718667984,0.1641543209552765,128,100,True,2000,3.0,0.2,100,0.001,0.05,101,train_elbo,hvm/hparam_results/arch_100_iters_2000_bs_128_mc_100_lr_0p001_prior_3p0_lik_0p2_qstd_0p05_sigmoid_seed_101/history.csv
50,arch_100_iters_2000_bs_64_mc_100_lr_0p001_prior_3p0_lik_0p2_qstd_0p05_sigmoid_seed_101,-511.42413330078125,2000,-511.42413330078125,445.5010452270508,0.13486550748348236,0.17166057229042053,64,100,True,2000,3.0,0.2,100,0.001,0.05,101,train_elbo,hvm/hparam_results/arch_100_iters_2000_bs_64_mc_100_lr_0p001_prior_3p0_lik_0p2_qstd_0p05_sigmoid_seed_101/history.csv
51,arch_100_iters_2000_bs_128_mc_50_lr_0p001_prior_3p0_lik_0p2_qstd_0p05_sigmoid_seed_101,-511.45135498046875,2000,-511.45135498046875,445.5282669067383,0.13477253913879395,0.16742266714572906,128,50,True,2000,3.0,0.2,100,0.001,0.05,101,train_elbo,hvm/hparam_results/arch_100_iters_2000_bs_128_mc_50_lr_0p001_prior_3p0_lik_0p2_qstd_0p05_sigmoid_seed_101/history.csv
52,arch_100_iters_2000_bs_32_mc_100_lr_0p001_prior_3p0_lik_0p2_qstd_0p05_sigmoid_seed_101,-511.6222839355469,2000,-511.6222839355469,445.6991958618164,0.1347966492176056,0.17337627708911896,32,100,True,2000,3.0,0.2,100,0.001,0.05,101,train_elbo,hvm/hparam_results/arch_100_iters_2000_bs_32_mc_100_lr_0p001_prior_3p0_lik_0p2_qstd_0p05_sigmoid_seed_101/history.csv
53,arch_100_iters_2000_bs_64_mc_50_lr_0p001_prior_3p0_lik_0p2_qstd_0p05_sigmoid_seed_101,-511.6357421875,2000,-511.6357421875,445.71265411376953,0.13486921787261963,0.16989925503730774,64,50,True,2000,3.0,0.2,100,0.001,0.05,101,train_elbo,hvm/hparam_results/arch_100_iters_2000_bs_64_mc_50_lr_0p001_prior_3p0_lik_0p2_qstd_0p05_sigmoid_seed_101/history.csv
54,arch_100_iters_2000_bs_128_mc_100_lr_0p001_prior_3p0_lik_0p1_qstd_0p05_sigmoid_seed_101,-511.7315979003906,2000,-511.7315979003906,445.80850982666016,0.13480329513549805,0.15552105009555817,128,100,True,2000,3.0,0.1,100,0.001,0.05,101,train_elbo,hvm/hparam_results/arch_100_iters_2000_bs_128_mc_100_lr_0p001_prior_3p0_lik_0p1_qstd_0p05_sigmoid_seed_101/history.csv
55,arch_100_iters_2000_bs_32_mc_50_lr_0p001_prior_3p0_lik_0p2_qstd_0p05_sigmoid_seed_101,-512.038330078125,2000,-512.038330078125,446.11524200439453,0.1348954737186432,0.17444631457328796,32,50,True,2000,3.0,0.2,100,0.001,0.05,101,train_elbo,hvm/hparam_results/arch_100_iters_2000_bs_32_mc_50_lr_0p001_prior_3p0_lik_0p2_qstd_0p05_sigmoid_seed_101/history.csv
56,arch_100_iters_2000_bs_128_mc_100_lr_0p001_prior_3p0_lik_0p5_qstd_0p05_sigmoid_seed_101,-512.0620727539062,2000,-512.0620727539062,446.1389846801758,0.13545048236846924,0.22442412376403809,128,100,True,2000,3.0,0.5,100,0.001,0.05,101,train_elbo,hvm/hparam_results/arch_100_iters_2000_bs_128_mc_100_lr_0p001_prior_3p0_lik_0p5_qstd_0p05_sigmoid_seed_101/history.csv
57,arch_100_iters_2000_bs_64_mc_100_lr_0p001_prior_3p0_lik_0p5_qstd_0p05_sigmoid_seed_101,-512.0702514648438,2000,-512.0702514648438,446.1471633911133,0.13589797914028168,0.21778354048728943,64,100,True,2000,3.0,0.5,100,0.001,0.05,101,train_elbo,hvm/hparam_results/arch_100_iters_2000_bs_64_mc_100_lr_0p001_prior_3p0_lik_0p5_qstd_0p05_sigmoid_seed_101/history.csv
