rank_test_rmse,run_dir,test_rmse,valid_rmse,delta_test_rmse_vs_best,delta_valid_rmse_vs_best_valid,batch_size,n_mc_samples,use_sigmoid_output,hidden_sizes,n_iters,step_size,prior_stddev,likelihood_stddev,init_q_stddev,seed,results_json
11,arch_100_iters_2000_bs_64_mc_20_lr_0p001_prior_3p0_lik_0p1_qstd_0p05_sigmoid_seed_101,0.13964475691318512,0.24458308517932892,0.004869937896728516,0.03824132680892944,64,20,True,100,2000,0.001,3.0,0.1,0.05,101,hvm/hparam_results/arch_100_iters_2000_bs_64_mc_20_lr_0p001_prior_3p0_lik_0p1_qstd_0p05_sigmoid_seed_101/results.json
12,arch_100_iters_2000_bs_32_mc_100_lr_0p001_prior_3p0_lik_0p1_qstd_0p05_linearout_seed_101,0.1406637728214264,0.33432942628860474,0.005888953804969788,0.12798766791820526,32,100,False,100,2000,0.001,3.0,0.1,0.05,101,hvm/hparam_results/arch_100_iters_2000_bs_32_mc_100_lr_0p001_prior_3p0_lik_0p1_qstd_0p05_linearout_seed_101/results.json
13,arch_100_iters_2000_bs_64_mc_5_lr_0p001_prior_3p0_lik_0p1_qstd_0p05_sigmoid_seed_101,0.14089451730251312,0.22583937644958496,0.0061196982860565186,0.019497618079185486,64,5,True,100,2000,0.001,3.0,0.1,0.05,101,hvm/hparam_results/arch_100_iters_2000_bs_64_mc_5_lr_0p001_prior_3p0_lik_0p1_qstd_0p05_sigmoid_seed_101/results.json
14,arch_100_iters_2000_bs_64_mc_20_lr_0p001_prior_3p0_lik_0p1_qstd_0p05_linearout_seed_101,0.14141274988651276,0.25007009506225586,0.006637930870056152,0.043728336691856384,64,20,False,100,2000,0.001,3.0,0.1,0.05,101,hvm/hparam_results/arch_100_iters_2000_bs_64_mc_20_lr_0p001_prior_3p0_lik_0p1_qstd_0p05_linearout_seed_101/results.json
15,arch_100_iters_2000_bs_64_mc_50_lr_0p001_prior_3p0_lik_0p1_qstd_0p05_linearout_seed_101,0.1418805867433548,0.24844864010810852,0.007105767726898193,0.042106881737709045,64,50,False,100,2000,0.001,3.0,0.1,0.05,101,hvm/hparam_results/arch_100_iters_2000_bs_64_mc_50_lr_0p001_prior_3p0_lik_0p1_qstd_0p05_linearout_seed_101/results.json
16,arch_100_iters_2000_bs_128_mc_5_lr_0p001_prior_3p0_lik_0p1_qstd_0p05_linearout_seed_101,0.14189687371253967,0.21729347109794617,0.007122054696083069,0.010951712727546692,128,5,False,100,2000,0.001,3.0,0.1,0.05,101,hvm/hparam_results/arch_100_iters_2000_bs_128_mc_5_lr_0p001_prior_3p0_lik_0p1_qstd_0p05_linearout_seed_101/results.json
17,arch_100_iters_2000_bs_32_mc_50_lr_0p001_prior_3p0_lik_0p1_qstd_0p05_linearout_seed_101,0.14240548014640808,0.2693096995353699,0.007630661129951477,0.0629679411649704,32,50,False,100,2000,0.001,3.0,0.1,0.05,101,hvm/hparam_results/arch_100_iters_2000_bs_32_mc_50_lr_0p001_prior_3p0_lik_0p1_qstd_0p05_linearout_seed_101/results.json
18,arch_100_iters_2000_bs_32_mc_20_lr_0p001_prior_3p0_lik_0p1_qstd_0p05_linearout_seed_101,0.1434374302625656,0.26878464221954346,0.008662611246109009,0.06244288384914398,32,20,False,100,2000,0.001,3.0,0.1,0.05,101,hvm/hparam_results/arch_100_iters_2000_bs_32_mc_20_lr_0p001_prior_3p0_lik_0p1_qstd_0p05_linearout_seed_101/results.json
19,arch_100_iters_2000_bs_16_mc_100_lr_0p001_prior_3p0_lik_0p1_qstd_0p05_linearout_seed_101,0.1447153091430664,0.3450268507003784,0.009940490126609802,0.13868509232997894,16,100,False,100,2000,0.001,3.0,0.1,0.05,101,hvm/hparam_results/arch_100_iters_2000_bs_16_mc_100_lr_0p001_prior_3p0_lik_0p1_qstd_0p05_linearout_seed_101/results.json
20,arch_100_iters_2000_bs_64_mc_5_lr_0p001_prior_3p0_lik_0p1_qstd_0p05_linearout_seed_101,0.1450590193271637,0.223337784409523,0.010284200310707092,0.016996026039123535,64,5,False,100,2000,0.001,3.0,0.1,0.05,101,hvm/hparam_results/arch_100_iters_2000_bs_64_mc_5_lr_0p001_prior_3p0_lik_0p1_qstd_0p05_linearout_seed_101/results.json
21,arch_100_iters_2000_bs_16_mc_50_lr_0p001_prior_3p0_lik_0p1_qstd_0p05_linearout_seed_101,0.14618055522441864,0.29825559258461,0.011405736207962036,0.09191383421421051,16,50,False,100,2000,0.001,3.0,0.1,0.05,101,hvm/hparam_results/arch_100_iters_2000_bs_16_mc_50_lr_0p001_prior_3p0_lik_0p1_qstd_0p05_linearout_seed_101/results.json
22,arch_100_iters_2000_bs_32_mc_5_lr_0p001_prior_3p0_lik_0p1_qstd_0p05_linearout_seed_101,0.14672400057315826,0.24342918395996094,0.01194918155670166,0.03708742558956146,32,5,False,100,2000,0.001,3.0,0.1,0.05,101,hvm/hparam_results/arch_100_iters_2000_bs_32_mc_5_lr_0p001_prior_3p0_lik_0p1_qstd_0p05_linearout_seed_101/results.json
